"genus","family"
"Entosthodon","Funariaceae"
"Enydra","Asteraceae"
"Eocalypogeia","Calypogeiaceae"
"Eopyrenula","Pleomassariaceae"
"Epaltes","Asteraceae"
"Ephebe","Lichinaceae"
"Ephedra","Ephedraceae"
"Ephemerum","Ephemeraceae"
"Epicladonia","Uncertain Ascomycota Family"
"Epidendrum","Orchidaceae"
"Epifagus","Orobanchaceae"
"Epigaea","Ericaceae"
"Epilichen","Rhizocarpaceae"
"Epilobium","Onagraceae"
"Epimedium","Berberidaceae"
"Epipactis","Orchidaceae"
"Epiphyllum","Cactaceae"
"Epipremnum","Araceae"
"Epipterygium","Bryaceae"
"Episcia","Gesneriaceae"
"Epithelantha","Cactaceae"
"Epixiphium","Scrophulariaceae"
"Equisetum","Equisetaceae"
"Eragrostis","Poaceae"
"Eranthemum","Acanthaceae"
"Eranthis","Ranunculaceae"
"Erechtites","Asteraceae"
"Eremalche","Malvaceae"
"Eremochloa","Poaceae"
"Eremocitrus","Rutaceae"
"Eremocrinum","Liliaceae"
"Eremogone","Caryophyllaceae"
"Eremonotus","Gymnomitriaceae"
"Eremophila","Myoporaceae"
"Eremopyrum","Poaceae"
"Eremospatha","Arecaceae"
"Eriachne","Poaceae"
"Eriastrum","Polemoniaceae"
"Erica","Ericaceae"
"Ericameria","Asteraceae"
"Erigenia","Apiaceae"
"Erigeron","Asteraceae"
"Erinus","Scrophulariaceae"
"Eriobotrya","Rosaceae"
"Eriocaulon","Eriocaulaceae"
"Eriochloa","Poaceae"
"Eriochrysis","Poaceae"
"Erioderma","Pannariaceae"
"Eriodictyon","Hydrophyllaceae"
"Eriogonum","Polygonaceae"
"Erioneuron","Poaceae"
"Eriophorum","Cyperaceae"
"Eriophyllum","Asteraceae"
"Eriosema","Fabaceae"
"Eriosorus","Pteridaceae"
"Erithalis","Rubiaceae"
"Eritrichium","Boraginaceae"
"Erlangea","Asteraceae"
"Ernodea","Rubiaceae"
"Erodium","Geraniaceae"
"Erpodium","Erpodiaceae"
"Errazurizia","Fabaceae"
"Eruca","Brassicaceae"
"Erucastrum","Brassicaceae"
"Eryngium","Apiaceae"
"Erysimum","Brassicaceae"
"Erythranthe","Scrophulariaceae"
"Erythrina","Fabaceae"
"Erythrochlamys","Lamiaceae"
"Erythrodes","Orchidaceae"
"Erythronium","Liliaceae"
"Erythrophleum","Fabaceae"
"Erythroxylum","Erythroxylaceae"
"Escallonia","Grossulariaceae"
"Eschscholzia","Papaveraceae"
"Escobaria","Cactaceae"
"Esenbeckia","Rutaceae"
"Espeletia","Asteraceae"
"Esslingeriana","Parmeliaceae"
"Etlingera","Zingiberaceae"
"Eubotrys","Ericaceae"
"Eubrachion","Eremolepidaceae"
"Eucalyptus","Myrtaceae"
"Eucephalus","Asteraceae"
"Eucharis","Liliaceae"
"Euchiton","Asteraceae"
"Eucladium","Pottiaceae"
"Euclasta","Poaceae"
"Euclidium","Brassicaceae"
"Eucnide","Loasaceae"
"Eucryphia","Cunoniaceae"
"Eucrypta","Hydrophyllaceae"
"Eugeissona","Arecaceae"
"Eugenia","Myrtaceae"
"Eulalia","Poaceae"
"Eulaliopsis","Poaceae"
"Eulophia","Orchidaceae"
"Euonymus","Celastraceae"
"Euopsis","Lichinaceae"
"Eupatorium","Asteraceae"
"Euphorbia","Euphorbiaceae"
"Euphrasia","Scrophulariaceae"
"Eurhynchium","Brachytheciaceae"
"Eurya","Theaceae"
"Euryale","Nymphaeaceae"
"Eurybia","Asteraceae"
"Euryops","Asteraceae"
"Eurystyles","Orchidaceae"
"Eurytaenia","Apiaceae"
"Eusideroxylon","Lauraceae"
"Eustachys","Poaceae"
"Eustoma","Gentianaceae"
"Euterpe","Arecaceae"
"Euthamia","Asteraceae"
"Eutrema","Brassicaceae"
"Eutrochium","Asteraceae"
"Evax","Asteraceae"
"Evernia","Parmeliaceae"
"Everniastrum","Parmeliaceae"
"Everniicola","Uncertain Ascomycota Family"
"Evolvulus","Convolvulaceae"
"Excoecaria","Euphorbiaceae"
"Exocarpos","Santalaceae"
"Exochorda","Rosaceae"
"Exomis","Chenopodiaceae"
"Exostema","Rubiaceae"
"Exothea","Sapindaceae"
"Eysenhardtia","Fabaceae"
"Fabiana","Solanaceae"
"Fabronia","Fabroniaceae"
"Facelis","Asteraceae"
"Fadyenia","Dryopteridaceae"
"Fagonia","Zygophyllaceae"
"Fagopyrum","Polygonaceae"
"Fagraea","Loganiaceae"
"Fagus","Fagaceae"
"Faidherbia","Fabaceae"
"Falcaria","Apiaceae"
"Falcataria","Fabaceae"
"Fallugia","Rosaceae"
"Faradaya","Verbenaceae"
"Faramea","Rubiaceae"
"Farnoldia","Porpidiaceae"
"Fatoua","Moraceae"
"Fatsia","Araliaceae"
"Fayodia","Tricholomataceae"
"Feijoa","Myrtaceae"
"Felicia","Asteraceae"
"Fellhanera","Pilocarpaceae"
"Fendlera","Hydrangeaceae"
"Fendlerella","Hydrangeaceae"
"Fernaldia","Apocynaceae"
"Ferocactus","Cactaceae"
"Ferula","Apiaceae"
"Festuca","Poaceae"
"Fevillea","Cucurbitaceae"
"Fibraurea","Menispermaceae"
"Ficus","Moraceae"
"Filago","Asteraceae"
"Filicium","Sapindaceae"
"Filifolium","Asteraceae"
"Filipendula","Rosaceae"
"Fimbristylis","Cyperaceae"
"Fingerhuthia","Poaceae"
"Fioria","Malvaceae"
"Firmiana","Sterculiaceae"
"Fissidens","Fissidentaceae"
"Fitchia","Asteraceae"
"Fitzroya","Cupressaceae"
"Flacourtia","Flacourtiaceae"
"Flagellaria","Flagellariaceae"
"Flaveria","Asteraceae"
"Flavocetraria","Parmeliaceae"
"Flavoparmelia","Parmeliaceae"
"Flavopunctelia","Parmeliaceae"
"Fleischmannia","Asteraceae"
"Flemingia","Fabaceae"
"Flindersia","Rutaceae"
"Floerkea","Limnanthaceae"
"Florestina","Asteraceae"
"Flourensia","Asteraceae"
"Flueggea","Euphorbiaceae"
"Flyriella","Asteraceae"
"Foeniculum","Apiaceae"
"Fontanesia","Oleaceae"
"Fontinalis","Fontinalaceae"
"Forchhammeria","Capparaceae"
"Forestiera","Oleaceae"
"Forsstroemia","Leptodontaceae"
"Forsteronia","Apocynaceae"
"Forsythia","Oleaceae"
"Fortunella","Rutaceae"
"Fossombronia","Fossombroniaceae"
"Fothergilla","Hamamelidaceae"
"Fouquieria","Fouquieriaceae"
"Fragaria","Rosaceae"
"Frangula","Rhamnaceae"
"Frankenia","Frankeniaceae"
"Franklinia","Theaceae"
"Frasera","Gentianaceae"
"Fraxinus","Oleaceae"
"Freesia","Iridaceae"
"Fremontodendron","Sterculiaceae"
"Freycinetia","Pandanaceae"
"Friesodielsia","Annonaceae"
"Fritillaria","Liliaceae"
"Froelichia","Amaranthaceae"
"Frullania","Jubulaceae"
"Frullanoides","Lejeuneaceae"
"Frutidella","Lecideaceae"
"Fryxellia","Malvaceae"
"Fuchsia","Onagraceae"
"Fuirena","Cyperaceae"
"Fulgensia","Teloschistaceae"
"Fumaria","Fumariaceae"
"Funaria","Funariaceae"
"Funastrum","Asclepiadaceae"
"Funtumia","Apocynaceae"
"Furcraea","Agavaceae"
"Fuscidea","Fuscideaceae"
"Fuscopannaria","Pannariaceae"
"Gadellia","Campanulaceae"
"Gaga","Pteridaceae"
"Gagea","Liliaceae"
"Gahnia","Cyperaceae"
"Gaillardia","Asteraceae"
"Galactia","Fabaceae"
"Galanthus","Liliaceae"
"Galatella","Asteraceae"
"Galax","Diapensiaceae"
"Galeandra","Orchidaceae"
"Galearis","Orchidaceae"
"Galega","Fabaceae"
"Galenia","Aizoaceae"
"Galeopsis","Lamiaceae"
"Galinsoga","Asteraceae"
"Galium","Rubiaceae"
"Galphimia","Malpighiaceae"
"Gambelia","Scrophulariaceae"
"Gamochaeta","Asteraceae"
"Garberia","Asteraceae"
"Garcia","Euphorbiaceae"
"Garcinia","Clusiaceae"
"Gardenia","Rubiaceae"
"Garnotia","Poaceae"
"Garrya","Garryaceae"
"Gastridium","Poaceae"
"Gaudinia","Poaceae"
"Gaultheria","Ericaceae"
"Gaura","Onagraceae"
"Gaussia","Arecaceae"
"Gaylussacia","Ericaceae"
"Gayophytum","Onagraceae"
"Gazania","Asteraceae"
"Geheebia","Pottiaceae"
"Gelsemium","Loganiaceae"
"Geniostoma","Loganiaceae"
"Genipa","Rubiaceae"
"Genista","Fabaceae"
"Genistidium","Fabaceae"
"Gentiana","Gentianaceae"
"Gentianella","Gentianaceae"
"Gentianopsis","Gentianaceae"
"Geocalyx","Geocalycaceae"
"Geocarpon","Caryophyllaceae"
"Geocaulon","Santalaceae"
"Geodorum","Orchidaceae"
"Geoffroea","Fabaceae"
"Geophila","Rubiaceae"
"Geothallus","Sphaerocarpaceae"
"Geraea","Asteraceae"
"Geranium","Geraniaceae"
"Gerbera","Asteraceae"
"Gesneria","Gesneriaceae"
"Geum","Rosaceae"
"Gibasis","Commelinaceae"
"Gigantochloa","Poaceae"
"Gilia","Polemoniaceae"
"Giliastrum","Polemoniaceae"
"Gillenia","Rosaceae"
"Gilmania","Polygonaceae"
"Ginkgo","Ginkgoaceae"
"Ginoria","Lythraceae"
"Gisekia","Phytolaccaceae"
"Githopsis","Campanulaceae"
"Gladiolus","Iridaceae"
"Glandularia","Verbenaceae"
"Glandulicactus","Cactaceae"
"Glaucium","Papaveraceae"
"Glaucocarpum","Brassicaceae"
"Glaux","Primulaceae"
"Glebionis","Asteraceae"
"Glechoma","Lamiaceae"
"Gleditsia","Fabaceae"
"Glehnia","Apiaceae"
"Gleichenia","Gleicheniaceae"
"Glinus","Molluginaceae"
"Gliricidia","Fabaceae"
"Globulinella","Pottiaceae"
"Glochidion","Euphorbiaceae"
"Gloriosa","Liliaceae"
"Glossogyne","Asteraceae"
"Glossopetalon","Crossosomataceae"
"Glossostigma","Scrophulariaceae"
"Gloxinia","Gesneriaceae"
"Gluta","Anacardiaceae"
"Glyceria","Poaceae"
"Glycine","Fabaceae"
"Glycosmis","Rutaceae"
"Glycyrrhiza","Fabaceae"
"Glyphis","Graphidaceae"
"Glypholecia","Acarosporaceae"
"Glyptopleura","Asteraceae"
"Gmelina","Verbenaceae"
"Gnaphalium","Asteraceae"
"Gnetum","Gnetaceae"
"Gochnatia","Asteraceae"
"Goetzea","Solanaceae"
"Gollania","Hypnaceae"
"Gomidesia","Myrtaceae"
"Gomphillus","Gomphillaceae"
"Gomphrena","Amaranthaceae"
"Gongylia","Arthrorhaphidaceae"
"Gonocalyx","Ericaceae"
"Gonocarpus","Haloragaceae"
"Gonolobus","Asclepiadaceae"
"Gonzalagunia","Rubiaceae"
"Goodmania","Polygonaceae"
"Goodyera","Orchidaceae"
"Gordonia","Theaceae"
"Gossypianthus","Amaranthaceae"
"Gossypium","Malvaceae"
"Gouania","Rhamnaceae"
"Gouldia","Rubiaceae"
"Govenia","Orchidaceae"
"Gracilariopsis","Gracilariaceae"
"Graffenrieda","Melastomataceae"
"Grammitis","Grammitidaceae"
"Granulopyrenis","Pyrenulaceae"
"Graphidium","Trichocomaceae"
"Graphina","Graphidaceae"
"Graphis","Graphidaceae"
"Graptopetalum","Crassulaceae"
"Graptophyllum","Acanthaceae"
"Grateloupia","Halymeniaceae"
"Gratiola","Scrophulariaceae"
"Grayia","Chenopodiaceae"
"Grevillea","Proteaceae"
"Grewia","Tiliaceae"
"Greyia","Greyiaceae"
"Grimmia","Grimmiaceae"
"Grindelia","Asteraceae"
"Groutiella","Orthotrichaceae"
"Grusonia","Cactaceae"
"Guaiacum","Zygophyllaceae"
"Guamia","Annonaceae"
"Guapira","Nyctaginaceae"
"Guardiola","Asteraceae"
"Guarea","Meliaceae"
"Guatteria","Annonaceae"
"Guazuma","Sterculiaceae"
"Guettarda","Rubiaceae"
"Guibourtia","Fabaceae"
"Guilleminea","Amaranthaceae"
"Guillenia","Brassicaceae"
"Guizotia","Asteraceae"
"Gundelia","Asteraceae"
"Gundlachia","Asteraceae"
"Gunnera","Gunneraceae"
"Gutierrezia","Asteraceae"
"Guzmania","Bromeliaceae"
"Gyalecta","Gyalectaceae"
"Gyalectidium","Gomphillaceae"
"Gyalidea","Solorinellaceae"
"Gyalideopsis","Gomphillaceae"
"Gyminda","Celastraceae"
"Gymnadenia","Orchidaceae"
"Gymnanthes","Euphorbiaceae"
"Gymnema","Asclepiadaceae"
"Gymnocarpium","Dryopteridaceae"
"Gymnocladus","Fabaceae"
"Gymnocolea","Jungermanniaceae"
"Gymnoderma","Cladoniaceae"
"Gymnomitrion","Gymnomitriaceae"
"Gymnopogon","Poaceae"
"Gymnosiphon","Burmanniaceae"
"Gymnosperma","Asteraceae"
"Gymnosteris","Polemoniaceae"
"Gymnostomiella","Pottiaceae"
"Gymnostomum","Pottiaceae"
"Gymnostyles","Asteraceae"
"Gynerium","Poaceae"
"Gynotroches","Rhizophoraceae"
"Gynura","Asteraceae"
"Gypsophila","Caryophyllaceae"
"Gypsoplaca","Gypsoplaceae"
"Gyrostomum","Graphidaceae"
"Gyrothyra","Gyrothyraceae"
"Gyroweisia","Pottiaceae"
"Habenaria","Orchidaceae"
"Habranthus","Liliaceae"
"Hackelia","Boraginaceae"
"Hackelochloa","Poaceae"
"Haematomma","Haematommataceae"
"Haematoxylum","Fabaceae"
"Haenianthus","Oleaceae"
"Hafellia","Physciaceae"
"Hafellnera","Schaereriaceae"
"Hainardia","Poaceae"
"Hakea","Proteaceae"
"Hakonechloa","Poaceae"
"Halecania","Catillariaceae"
"Halenia","Gentianaceae"
"Halesia","Styracaceae"
"Halimione","Chenopodiaceae"
"Halimium","Cistaceae"
"Halimodendron","Fabaceae"
"Halimolobos","Brassicaceae"
"Halocnemum","Chenopodiaceae"
"Halodule","Cymodoceaceae"
"Halogeton","Chenopodiaceae"
"Halophila","Hydrocharitaceae"
"Haloragis","Haloragaceae"
"Hamamelis","Hamamelidaceae"
"Hamatocactus","Cactaceae"
"Hamatocaulis","Amblystegiaceae"
"Hamelia","Rubiaceae"
"Hancornia","Apocynaceae"
"Hanguana","Hanguanaceae"
"Hapalorchis","Orchidaceae"
"Haplocarpha","Asteraceae"
"Haploesthes","Asteraceae"
"Haplohymenium","Anomodontaceae"
"Haplomitrium","Haplomitriaceae"
"Haplopappus","Asteraceae"
"Haplophyton","Apocynaceae"
"Haplostachys","Lamiaceae"
"Harbouria","Apiaceae"
"Hardenbergia","Fabaceae"
"Harmonia","Asteraceae"
"Harpagonella","Boraginaceae"
"Harpagophytum","Pedaliaceae"
"Harpalejeunea","Lejeuneaceae"
"Harpanthus","Geocalycaceae"
"Harperocallis","Liliaceae"
"Harpullia","Sapindaceae"
"Harrimanella","Ericaceae"
"Harrisella","Orchidaceae"
"Harrisia","Cactaceae"
"Hartwrightia","Asteraceae"
"Hassea","Uncertain Ascomycota Family"
"Hasteola","Asteraceae"
"Hastingsia","Liliaceae"
"Hatiora","Cactaceae"
"Havardia","Fabaceae"
"Hawksworthiana","Uncertain Ascomycota Family"
"Hazardia","Asteraceae"
"Hebe","Scrophulariaceae"
"Hebeclinium","Asteraceae"
"Hebestigma","Fabaceae"
"Hecastocleis","Asteraceae"
"Hechtia","Bromeliaceae"
"Hecistopteris","Vittariaceae"
"Hedeoma","Lamiaceae"
"Hedera","Araliaceae"
"Hedosyne","Asteraceae"
"Hedwigia","Hedwigiaceae"
"Hedychium","Zingiberaceae"
"Hedyosmum","Chloranthaceae"
"Hedyotis","Rubiaceae"
"Hedypnois","Asteraceae"
"Hedysarum","Fabaceae"
"Heimia","Lythraceae"
"Heisteria","Olacaceae"
"Helenium","Asteraceae"
"Helianthella","Asteraceae"
"Helianthemum","Cistaceae"
"Helianthus","Asteraceae"
"Helichrysum","Asteraceae"
"Heliconia","Heliconiaceae"
"Helicteres","Sterculiaceae"
"Helictotrichon","Poaceae"
"Helietta","Rutaceae"
"Heliocarpus","Tiliaceae"
"Heliomeris","Asteraceae"
"Heliopsis","Asteraceae"
"Heliotropium","Boraginaceae"
"Helleborus","Ranunculaceae"
"Helleriella","Orchidaceae"
"Helminthocarpon","Graphidaceae"
"Helminthostachys","Ophioglossaceae"
"Helocarpon","Micareaceae"
"Helodium","Helodiaceae"
"Helonias","Liliaceae"
"Hemarthria","Poaceae"
"Hemerocallis","Liliaceae"
"Hemichaena","Scrophulariaceae"
"Hemidictyum","Dryopteridaceae"
"Hemigraphis","Acanthaceae"
"Hemionitis","Pteridaceae"
"Hemitomes","Monotropaceae"
"Hemizonella","Asteraceae"
"Hemizonia","Asteraceae"
"Henicodium","Pterobryaceae"
"Henriettea","Melastomataceae"
"Henrya","Acanthaceae"
"Hepatica","Ranunculaceae"
"Heppia","Heppiaceae"
"Heracleum","Apiaceae"
"Herbertia","Iridaceae"
"Herbertus","Herbertaceae"
"Herissantia","Malvaceae"
"Heritiera","Sterculiaceae"
"Hermannia","Sterculiaceae"
"Hermbstaedtia","Amaranthaceae"
"Hernandia","Hernandiaceae"
"Herniaria","Caryophyllaceae"
"Herpetineuron","Anomodontaceae"
"Herrea","Aizoaceae"
"Herteliana","Bacidiaceae"
"Hertia","Asteraceae"
"Herzogiella","Hypnaceae"
"Hesperaloe","Agavaceae"
"Hesperevax","Asteraceae"
"Hesperis","Brassicaceae"
"Hesperocallis","Liliaceae"
"Hesperochiron","Hydrophyllaceae"
"Hesperocnide","Urticaceae"
"Hesperocyparis","Cupressaceae"
"Hesperodoria","Asteraceae"
"Hesperolinon","Linaceae"
"Hesperomannia","Asteraceae"
"Hesperostipa","Poaceae"
"Hesperoyucca","Agavaceae"
"Heteranthelium","Poaceae"
"Heteranthemis","Asteraceae"
"Heteranthera","Pontederiaceae"
"Heterocarpon","Verrucariaceae"
"Heterocentron","Melastomataceae"
"Heterocladium","Pterigynandraceae"
"Heterocodon","Campanulaceae"
"Heterocyphelium","Uncertain Ascomycota Family"
"Heterodermia","Physciaceae"
"Heterodraba","Brassicaceae"
"Heterogonium","Dryopteridaceae"
"Heteromeles","Rosaceae"
"Heteropappus","Asteraceae"
"Heterophyllium","Sematophyllaceae"
"Heteropogon","Poaceae"
"Heteropteris","Malpighiaceae"
"Heteropterys","Malpighiaceae"
"Heterospathe","Arecaceae"
"Heterosperma","Asteraceae"
"Heterotheca","Asteraceae"
"Heuchera","Saxifragaceae"
"Hevea","Euphorbiaceae"
"Hexalectris","Orchidaceae"
"Hexastylis","Aristolochiaceae"
"Hibiscadelphus","Malvaceae"
"Hibiscus","Malvaceae"
"Hieracium","Asteraceae"
"Hierochloe","Poaceae"
"Hilaria","Poaceae"
"Hillebrandia","Begoniaceae"
"Hillia","Rubiaceae"
"Hippeastrum","Liliaceae"
"Hippobroma","Campanulaceae"
"Hippocratea","Hippocrateaceae"
"Hippocrepis","Fabaceae"
"Hippomane","Euphorbiaceae"
"Hippophae","Elaeagnaceae"
"Hippuris","Hippuridaceae"
"Hiptage","Malpighiaceae"
"Hiraea","Malpighiaceae"
"Hirschfeldia","Brassicaceae"
"Hirtella","Chrysobalanaceae"
"Histiopteris","Dennstaedtiaceae"
"Hitchenia","Zingiberaceae"
"Hobsonia","Uncertain Basidiomycota Family"
"Hodgsonia","Cucurbitaceae"
"Hoffmannseggia","Fabaceae"
"Hohenbergia","Bromeliaceae"
"Hoheria","Malvaceae"
"Hoita","Fabaceae"
"Holacantha","Simaroubaceae"
"Holarrhena","Apocynaceae"
"Holcus","Poaceae"
"Hollisteria","Polygonaceae"
"Holmgrenanthe","Scrophulariaceae"
"Holmskioldia","Verbenaceae"
"Holocarpha","Asteraceae"
"Holodiscus","Rosaceae"
"Holographis","Acanthaceae"
"Holosteum","Caryophyllaceae"
"Holozonia","Asteraceae"
"Homalia","Neckeraceae"
"Homaliadelphus","Neckeraceae"
"Homalium","Flacourtiaceae"
"Homalocladium","Polygonaceae"
"Homalomena","Araceae"
"Homalotheciella","Brachytheciaceae"
"Homalothecium","Brachytheciaceae"
"Homolepis","Poaceae"
"Homomallium","Hypnaceae"
"Homopholis","Poaceae"
"Homostegia","Uncertain Ascomycota Family"
"Honckenya","Caryophyllaceae"
"Hookeria","Hookeriaceae"
"Hopea","Dipterocarpaceae"
"Hordelymus","Poaceae"
"Hordeum","Poaceae"
"Horkelia","Rosaceae"
"Horkeliella","Rosaceae"
"Hornungia","Brassicaceae"
"Horsfieldia","Myristicaceae"
"Horsfordia","Malvaceae"
"Hosta","Liliaceae"
"Hottonia","Primulaceae"
"Houstonia","Rubiaceae"
"Houttuynia","Saururaceae"
"Hovenia","Rhamnaceae"
"Howeia","Arecaceae"
"Howellanthus","Hydrophyllaceae"
"Howellia","Campanulaceae"
"Howelliella","Scrophulariaceae"
"Hoya","Asclepiadaceae"
"Hudsonia","Cistaceae"
"Hulsea","Asteraceae"
"Hulteniella","Asteraceae"
"Humulus","Cannabaceae"
"Hunnemannia","Papaveraceae"
"Hunzikeria","Solanaceae"
"Huperzia","Lycopodiaceae"
"Hura","Euphorbiaceae"
"Hyacinthoides","Liliaceae"
"Hyacinthus","Liliaceae"
"Hybanthus","Violaceae"
"Hydnocarpus","Flacourtiaceae"
"Hydnophytum","Rubiaceae"
"Hydrangea","Hydrangeaceae"
"Hydrastis","Ranunculaceae"
"Hydrilla","Hydrocharitaceae"
"Hydrocharis","Hydrocharitaceae"
"Hydrocleys","Limnocharitaceae"
"Hydrocotyle","Apiaceae"
"Hydrolea","Hydrophyllaceae"
"Hydrophylax","Rubiaceae"
"Hydrophyllum","Hydrophyllaceae"
"Hydrothyria","Peltigeraceae"
"Hyeronima","Euphorbiaceae"
"Hygroamblystegium","Amblystegiaceae"
"Hygrobiella","Cephaloziaceae"
"Hygrohypnum","Amblystegiaceae"
"Hygrophila","Acanthaceae"
"Hygroryza","Poaceae"
"Hylocereus","Cactaceae"
"Hylocomiastrum","Hylocomiaceae"
"Hylocomium","Hylocomiaceae"
"Hylotelephium","Crassulaceae"
"Hymenachne","Poaceae"
"Hymenaea","Fabaceae"
"Hymenelia","Hymeneliaceae"
"Hymenocallis","Liliaceae"
"Hymenocarpos","Fabaceae"
"Hymenoclea","Asteraceae"
"Hymenopappus","Asteraceae"
"Hymenophyllum","Hymenophyllaceae"
"Hymenosporum","Pittosporaceae"
"Hymenostylium","Pottiaceae"
"Hymenothrix","Asteraceae"
"Hymenoxys","Asteraceae"
"Hyophila","Pottiaceae"
"Hyoscyamus","Solanaceae"
"Hyparrhenia","Poaceae"
"Hypecoum","Fumariaceae"
"Hypelate","Sapindaceae"
"Hyperbaena","Menispermaceae"
"Hypericum","Clusiaceae"
"Hyperphyscia","Physciaceae"
"Hyphaene","Arecaceae"
"Hypnum","Hypnaceae"
"Hypocenomyce","Lecideaceae"
"Hypochaeris","Asteraceae"
"Hypoderris","Dryopteridaceae"
"Hypoestes","Acanthaceae"
"Hypogymnia","Parmeliaceae"
"Hypogynium","Poaceae"
"Hypolepis","Dennstaedtiaceae"
"Hypolytrum","Cyperaceae"
"Hypopterygium","Hypopterygiaceae"
"Hypotrachyna","Parmeliaceae"
"Hypoxis","Liliaceae"
"Hyptis","Lamiaceae"
"Hyssopus","Lamiaceae"
"Iberis","Brassicaceae"
"Ibervillea","Cucurbitaceae"
"Ibicella","Pedaliaceae"
"Icacina","Icacinaceae"
"Ichnanthus","Poaceae"
"Icmadophila","Baeomycetaceae"
"Idahoa","Brassicaceae"
"Idesia","Flacourtiaceae"
"Ilex","Aquifoliaceae"
"Iliamna","Malvaceae"
"Illecebrum","Caryophyllaceae"
"Illicium","Illiciaceae"
"Illosporium","Uncertain Ascomycota Family"
"Immersaria","Porpidiaceae"
"Impatiens","Balsaminaceae"
"Imperata","Poaceae"
"Imshaugia","Parmeliaceae"
"Incarvillea","Bignoniaceae"
"Indigofera","Fabaceae"
"Indusiella","Grimmiaceae"
"Inga","Fabaceae"
"Inocarpus","Fabaceae"
"Intsia","Fabaceae"
"Inula","Asteraceae"
"Iochroma","Solanaceae"
"Iodanthus","Brassicaceae"
"Ionactis","Asteraceae"
"Ionaspis","Hymeneliaceae"
"Ionopsidium","Brassicaceae"
"Ionopsis","Orchidaceae"
"Ipomoea","Convolvulaceae"
"Ipomopsis","Polemoniaceae"
"Iresine","Amaranthaceae"
"Iris","Iridaceae"
"Isachne","Poaceae"
"Isatis","Brassicaceae"
"Ischaemum","Poaceae"
"Iseilema","Poaceae"
"Isocarpha","Asteraceae"
"Isochilus","Orchidaceae"
"Isocoma","Asteraceae"
"Isodendrion","Violaceae"
"Isoetes","Isoetaceae"
"Isolepis","Cyperaceae"
"Isopogon","Proteaceae"
"Isopterygiopsis","Hypnaceae"
"Isopterygium","Hypnaceae"
"Isothecium","Brachytheciaceae"
"Isotria","Orchidaceae"
"Itea","Grossulariaceae"
"Iva","Asteraceae"
"Ivesia","Rosaceae"
"Iwatsukiella","Pterigynandraceae"
"Ixeris","Asteraceae"
"Ixia","Iridaceae"
"Ixophorus","Poaceae"
"Ixora","Rubiaceae"
"Jaborosa","Solanaceae"
"Jacaranda","Bignoniaceae"
"Jacquemontia","Convolvulaceae"
"Jacquinia","Theophrastaceae"
"Jacquiniella","Orchidaceae"
"Jaegeria","Asteraceae"
"Jaegerina","Pterobryaceae"
"Jaffueliobryum","Grimmiaceae"
"Jaltomata","Solanaceae"
"Jamesia","Hydrangeaceae"
"Jamesianthus","Asteraceae"
"Jamesoniella","Jungermanniaceae"
"Janusia","Malpighiaceae"
"Japewia","Bacidiaceae"
"Jarava","Poaceae"
"Jarilla","Caricaceae"
"Jarixa","Arthopyreniaceae"
"Jasione","Campanulaceae"
"Jasminum","Oleaceae"
"Jateorhiza","Menispermaceae"
"Jatropha","Euphorbiaceae"
"Jaumea","Asteraceae"
"Jefea","Asteraceae"
"Jeffersonia","Berberidaceae"
"Jensia","Asteraceae"
"Jepsonia","Saxifragaceae"
"Johanneshowellia","Polygonaceae"
"Joinvillea","Joinvilleaceae"
"Jovibarba","Crassulaceae"
"Jubaea","Arecaceae"
"Jubula","Jubulaceae"
"Juglans","Juglandaceae"
"Julella","Thelenellaceae"
"Juncus","Juncaceae"
"Jungermannia","Jungermanniaceae"
"Juniperus","Cupressaceae"
"Justicia","Acanthaceae"
"Kaempferia","Zingiberaceae"
"Kaernefeltia","Parmeliaceae"
"Kalanchoe","Crassulaceae"
"Kalimeris","Asteraceae"
"Kalinia","Poaceae"
"Kallstroemia","Zygophyllaceae"
"Kalmia","Ericaceae"
"Kalmiopsis","Ericaceae"
"Kalopanax","Araliaceae"
"Kanaloa","Fabaceae"
"Karroochloa","Poaceae"
"Karschia","Uncertain Ascomycota Family"
"Karwinskia","Rhamnaceae"
"Keckiella","Scrophulariaceae"
"Kelloggia","Rubiaceae"
"Kelseya","Rosaceae"
"Kennedia","Fabaceae"
"Kerria","Rosaceae"
"Keteleeria","Pinaceae"
"Keysseria","Asteraceae"
"Khaya","Meliaceae"
"Kiaeria","Dicranaceae"
"Kickxia","Scrophulariaceae"
"Kigelia","Bignoniaceae"
"Kirschsteiniothelia","Pleosporaceae"
"Kleinhovia","Sterculiaceae"
"Kleinia","Asteraceae"
"Knautia","Dipsacaceae"
"Kniphofia","Liliaceae"
"Koanophyllon","Asteraceae"
"Kobresia","Cyperaceae"
"Koeberlinia","Capparaceae"
"Koeleria","Poaceae"
"Koellensteinia","Orchidaceae"
"Koelreuteria","Sapindaceae"
"Koenigia","Polygonaceae"
"Koerberia","Placynthiaceae"
"Koerberiella","Porpidiaceae"
"Kohleria","Gesneriaceae"
"Kohlmeyera","Mastodiaceae"
"Kokia","Malvaceae"
"Kolkwitzia","Caprifoliaceae"
"Korthalsella","Viscaceae"
"Kosteletzkya","Malvaceae"
"Krameria","Krameriaceae"
"Krapovickasia","Malvaceae"
"Krascheninnikovia","Chenopodiaceae"
"Krigia","Asteraceae"
